format	path	status	size_bytes	suffix
Micro-Manager	/big/henriksson/ome_images/Micro-Manager/1.4.23/jens/fucci_GFP-geminin_RFP-cdt1_2_MMStack_Pos0.ome.tif	present	435040571	.ome.tif
Micro-Manager	/big/henriksson/ome_images/Micro-Manager/1.4.16/serge/Pos0/img_000000000_00-BF0_000.tif	present	8409863	.tif
ND2	/big/henriksson/ome_images/ND2/aryeh/4_2_1_cont_NoMR001.nd2	present	331821144	.nd2
ND2	/big/henriksson/ome_images/ND2/aryeh/4_con_2_1_cot002.nd2	present	788786722	.nd2
NIfTI	/big/henriksson/ome_images/NIfTI/NIH/103.1.sirp.xml	present	190325	.xml
NIfTI	/big/henriksson/ome_images/NIfTI/NIH/avg152T1_LR_nifti.nii	present	902981	.nii
OME-TIFF	/big/henriksson/ome_images/OME-TIFF/2003-FC/Iron-Plate.ome.tiff	present	820963	.ome.tiff
OME-TIFF	/big/henriksson/ome_images/OME-TIFF/2003-FC/single-channel.ome.tif	present	42053	.ome.tif
OME-XML	/big/henriksson/ome_images/OME-XML/2008-09/dataset-group-project.ome.xml	present	2307	.xml
OME-XML	/big/henriksson/ome_images/OME-XML/2008-09/instrument.ome.xml	present	3264	.xml
Olympus-FluoView	/big/henriksson/ome_images/Olympus-FluoView/imagesc-71616/20220824_4492_cord_dapi__iba568_60x.oib	present	26001408	.oib
Olympus-OIR	/big/henriksson/ome_images/Olympus-OIR/etienne/amy slice z stack_0001.oir	present	25957525	.oir
Olympus-OIR	/big/henriksson/ome_images/Olympus-OIR/etienne/amy slice z stack_0001.ome.tif	present	24734542	.ome.tif
PNG	/big/henriksson/ome_images/PNG/user-1/dataset-user-1/user-1 01 TEST.png	present	6316	.png
PNG	/big/henriksson/ome_images/PNG/user-1/dataset-user-1/user-1 02 TEST.png	present	8721	.png
PerkinElmer-Columbus	/big/henriksson/ome_images/PerkinElmer-Columbus/idr0019/22_lines_HC_EGF_200145913/002002-1.tif	present	1839988	.tif
PerkinElmer-Columbus	/big/henriksson/ome_images/PerkinElmer-Columbus/idr0019/22_lines_HC_EGF_200145913/002002-10.tif	present	1948588	.tif
PerkinElmer-Operetta	/big/henriksson/ome_images/PerkinElmer-Operetta/59548/59548__2013-04-03T09_16_35-Measurement1/Assaylayout/Unnamed.xml	present	178904	.xml
PerkinElmer-Operetta	/big/henriksson/ome_images/PerkinElmer-Operetta/59548/59548__2013-04-03T09_16_35-Measurement1/Images/Index.ref.xml	present	1808132	.xml
SDT	/big/henriksson/ome_images/SDT/gh-4198/FocalCheck_A1_20x_8xzoom_800nm.sdt	present	30039135	.sdt
SPC-FIFO	/big/henriksson/ome_images/SPC-FIFO/biofisika/conv-256x256.spc	present	32888548	.spc
SVS	/big/henriksson/ome_images/SVS/77917.svs	present	704041277	.svs
SVS	/big/henriksson/ome_images/SVS/77928.svs	present	609174117	.svs
ScanR	/big/henriksson/ome_images/ScanR/idr0009/0307-10--2007-05-30/experiment_descriptor.xml	present	51477	.xml
ScanR	/big/henriksson/ome_images/ScanR/idr0009/0307-10--2007-05-30/data/--W00002--P00001--Z00000--T00000--nucleus-dapi.tif	present	2752878	.tif
TIFF	/big/henriksson/ome_images/TIFF/cellprofiler/fruit-fly-cells/POS002.pattern/01_POS002_Z00_T00_D.TIF	present	1008766	.tif
TIFF	/big/henriksson/ome_images/TIFF/cellprofiler/fruit-fly-cells/POS002.pattern/01_POS002_Z00_T00_F.TIF	present	1008766	.tif
Trestle	/big/henriksson/ome_images/Trestle/openslide/CMU-1/CMU-1.tif	present	163649046	.tif
Trestle	/big/henriksson/ome_images/Trestle/openslide/CMU-2/CMU-2.tif	present	314982018	.tif
Vectra-QPTIFF	/big/henriksson/ome_images/Vectra-QPTIFF/perkinelmer/PKI_fields/HandEcompressed_[11004,54205]_2x2component_data.tif	present	116848824	.tif
Vectra-QPTIFF	/big/henriksson/ome_images/Vectra-QPTIFF/perkinelmer/PKI_fields/HnE_3_1x1component_data.tif	present	24152250	.tif
Zeiss-CZI	/big/henriksson/ome_images/Zeiss-CZI/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-02-Scene-1-P2-E1-01.czi	present	43560352	.czi
Zeiss-CZI	/big/henriksson/ome_images/Zeiss-CZI/idr0011/Plate1-Blue-A_TS-Stinger/Plate1-Blue-A-02-Scene-2-P1-E1-02.czi	present	43560704	.czi
gateway_tests	/big/henriksson/ome_images/gateway_tests/big.tiff	present	67174663	.tiff
gateway_tests	/big/henriksson/ome_images/gateway_tests/CHOBI_d3d.dv	present	36712448	.dv
